Player,Spatial_0,Spatial_1,Spatial_2,Spatial_3,Spatial_4,Spatial_5,Spatial_6,Spatial_7,Spatial_8,Spatial_9,Spatial_10,Spatial_11,Spatial_12,Spatial_13,Spatial_14,Spatial_15,Spatial_16,Spatial_17,Spatial_18,Spatial_19,Spatial_20,Spatial_21,Spatial_22,Spatial_23,Spatial_24,Spatial_25,Spatial_26,Spatial_27,Spatial_28,Spatial_29,Spatial_30,Spatial_31,Spatial_32,Spatial_33,Spatial_34,Spatial_35,Spatial_36,Spatial_37,Spatial_38,Spatial_39,Spatial_40,Spatial_41,Spatial_42,Spatial_43,Spatial_44,Spatial_45,Spatial_46,Spatial_47,Spatial_48,Spatial_49,Spatial_50,Spatial_51,Spatial_52,Spatial_53,Spatial_54,Spatial_55,Spatial_56,Spatial_57,Spatial_58,Spatial_59,Spatial_60,Spatial_61,Spatial_62,Spatial_63,Spatial_64,Spatial_65,Spatial_66,Spatial_67,Spatial_68,Spatial_69,Spatial_70,Spatial_71,Spatial_72,Spatial_73,Spatial_74,Spatial_75,Spatial_76,Spatial_77,Spatial_78,Spatial_79,Spatial_80,Spatial_81,Spatial_82,Spatial_83,Spatial_84,Spatial_85,Spatial_86,Spatial_87,Spatial_88,Spatial_89,Spatial_90,Spatial_91,Spatial_92,Spatial_93,Spatial_94,Spatial_95,passes_attempted,pass_completion_pct,shots,goals,assists,carries,dribbles,fouls_won,interceptions,tackles,clearances,avg_action_velocity,max_action_velocity,explosive_bursts,total_action_distance,avg_deceleration
Abdoul Karim Yoda,0.008376030204917399,0.011038540128500824,0.004542492132911249,0.00320361417401976,0.0013265684943318259,0.0,0.0,0.0003439972480200042,0.030003782750471213,0.012681306219760068,0.013572891044149696,0.0028620412792227864,0.0018886933504182342,0.0014254590724958028,0.000700428570830553,0.0,0.018482220589481416,0.00860483874630826,0.01199601429771791,0.005085044190720681,0.002088554720096298,0.007958315294050812,0.0004325259515539131,0.008537686173873977,0.038192383575659766,0.027804991481988457,0.010522799145351194,0.00509183260702352,0.0,0.001516441808522279,0.0019230057036220152,0.0015424038649764554,0.06588973004356016,0.025703983288777037,0.010380739918195186,0.0030761113031913534,0.0013817809641021158,0.0021000631106898333,0.0063526167200957315,0.009402738076981804,0.07020977818685807,0.02788515359157003,0.01826756785536361,0.006622031319472367,0.003288812708184966,0.007672634270766151,0.010017523391770701,0.008461780911806825,0.058040084467342046,0.016196680415557958,0.008889593258785793,0.004119073798945064,0.0011724445605022747,0.0007399186089483617,0.004997170899403548,0.006253697119989895,0.03766723295656348,0.012892667625544835,0.012182821713213894,0.006869148513818826,0.0024712450169658397,0.0017708164461352866,0.006049922743750571,0.01116208767828709,0.043629141289322396,0.02250833562038572,0.014181297066767833,0.006462202752728978,0.002836558165583012,0.002305399082886741,0.003887292985981005,0.00813733059671728,0.03271715308029828,0.013739591455798669,0.015132460214456456,0.0024305323770462055,0.00036995930447418084,0.002777415072558463,0.01828124528199576,0.004444952231694383,0.025595153338230342,0.009538032463394281,0.018853788586922823,0.005168906227679119,0.002954975754744159,0.003792555964504058,0.0030437560958775194,0.0011098779134225425,0.0066844333360995215,0.006460603087472957,0.0010084033613387755,0.00353845744531313,0.0017825311942418843,0.005397526476560245,0.0004325259515539131,0.0008650519031078262,-0.22829131668643138,0.024078611010629462,-0.3235734872028003,-0.2799735151153952,-0.2528629095843689,-0.035715351491075735,1.3424256021508363,0.0,0.061711158431030706,0.0,0.0,0.1180382277261829,-0.09031999118099045,-0.3295035854163522,-0.15596745145336477,-0.45235276819944537
Abdoulaye Doucouré,0.0014392265335583284,0.0007589098532450297,0.0035676453654523333,0.0022343120322238148,0.0024499150318242507,0.0015315315315226443,0.0007751937984451055,0.0,0.0016748257691569606,0.0029221553159215754,0.0043986117754097834,0.005936300913971363,0.0020288427048061864,0.0023369744444434997,0.0060663803062845885,0.00038759689922255274,0.006962862350297174,0.007204771368573679,0.007047274898242812,0.014445203474131817,0.013127345565538113,0.013284677687389739,0.008429296821629314,0.002700024960181147,0.007379887676120809,0.015311395836068716,0.01724621786728699,0.013297576537489014,0.01500290283775974,0.01761230941403119,0.016180932701712787,0.004141694084706842,0.010009909170859855,0.03633417239453978,0.031123538991407174,0.021030075399078894,0.016321361681676746,0.022365301122759768,0.014637372599464541,0.006607641866841738,0.009454944032834289,0.030710383643859206,0.03984694129656066,0.04060605084067226,0.02136765437163746,0.030418196570856818,0.023189054920441314,0.0059185121728961825,0.012913827823824883,0.04011650504637234,0.02515885865273716,0.016305856363594343,0.017866022412489826,0.019346084054933124,0.026191628019922968,0.009528399194166877,0.012368663161696606,0.01963693206720416,0.013194024260110617,0.01216796006683749,0.005286778783905623,0.015523119773719035,0.01048288613082802,0.005968596916376939,0.0016666666666583334,0.015483274282401711,0.00577763585754512,0.014361293381568939,0.0036490898286401486,0.0027050398893470255,0.008335054937440212,0.003138415692419127,0.004202681320252334,0.014451363715682402,0.007963070798706263,0.011759734584265621,0.006235846658121242,0.008189007099657565,0.01478772722761501,0.0014583039699238413,0.0,0.0010060060059983327,0.0032155878445437516,0.01199017198980205,0.003483229529720902,0.005042029938549607,0.0006666666666633334,0.0019464720194505125,0.0009852216748719941,0.0,0.0009009009008948138,0.0008080808080759107,0.001294698812938539,0.0016969696969588736,0.0014598540145878843,0.0014598540145878843,0.14472955370184257,0.4890437160649469,-0.172360318182081,-0.2799735151153952,0.22695702850998323,0.28814463531023937,-0.11468431193183141,0.0,0.2242490195108311,0.0,0.0,0.09263863620355504,0.16907263141855422,0.24465268263532863,0.37955619310019423,-0.09117366512650381
Abraham González Casanova,0.0033299479452042584,0.0,0.0021575939417530147,0.0008296667940499041,0.0004278990158287847,0.0004144218814720787,0.0,0.0,0.007402157747629683,0.003683904031473775,0.004135044319180744,0.007659932820288463,0.0009535644324694987,0.0004278990158287847,0.0,0.0035524570957338334,0.0054914949196387605,0.007327554678257851,0.013459701272691506,0.005594001236764651,0.0022821646725589943,0.002875879431928526,0.0018503741225016025,0.002526004147491515,0.007306854650119088,0.014608399438599186,0.018669639221843705,0.007867557744644985,0.01776335128366535,0.009139332643200345,0.022229995904636025,0.002223171391447908,0.01094405586806664,0.020482803695032747,0.01771240084459267,0.010910437174824485,0.013734087195501782,0.01135393745134479,0.01071495690643415,0.006762706107482156,0.012629387754822223,0.03688225733946395,0.030166188050369285,0.018413522705297964,0.03474514111528841,0.01571053995922473,0.008674485485194056,0.0009483167377818786,0.016822218660339575,0.025368822866169146,0.03587259041224264,0.02036387833482906,0.01766791596925868,0.028800518722413855,0.01897818266430653,0.005906164950518491,0.021040705721392373,0.029849892272987826,0.025600838679866164,0.023571670762948697,0.014543589518524335,0.014829186052494751,0.01653798052676686,0.004932607245635917,0.01177071503568503,0.026570319930278807,0.02060621293277185,0.01956197852779566,0.007439470534628963,0.004422198665887099,0.023202723914951713,0.0017931200288347742,0.008005348956822221,0.00809325769249126,0.005088847067294411,0.010017022114941068,0.013404204331055602,0.003859321760473601,0.0027646982430029397,0.003982930298637528,0.004344045809139587,0.006926799755492885,0.004542660887520796,0.008244494988484067,0.013263314506795543,0.00887591906335024,0.0019193070170984037,0.004120219026422509,0.003487177026182426,0.0,0.0,0.004357590053231125,0.005557766191664479,0.001654341969643092,0.0010436163019616875,0.0034184237990283325,-0.3792961724756561,0.17144292450476922,-0.03706432484775321,-0.13012174741422833,-0.06346030244186147,-0.41989515845050723,-0.5846985331448536,0.0,0.07643633135025336,0.0,0.0,-0.035497378093824666,0.16907263141855422,-0.3276136009927887,-0.3356897009853367,0.1251080741998104
Adalberto Peñaranda Maestre,0.0,0.0,0.00033921302577765854,0.0004887585532694269,0.0008640458640376294,0.0,0.0,0.0,0.0010709332498126344,0.0,0.0007799224723806811,0.00033921302577765854,0.00033422459892802376,0.00028232636928113747,0.0004591368227685487,0.0020932300817574183,0.004827209520871611,0.003763749700670223,0.0027690508021100697,0.0011542187609224622,0.0004887585532694269,0.0,0.0008636958007612646,0.0018957907520759508,0.003384242581669043,0.00620664192935311,0.004649366626314021,0.0009644285058780522,0.0009197663749231369,0.0008496176720396382,0.0021699993190321515,0.0032338217735165637,0.008584331411572403,0.01219381369981482,0.010798211246856785,0.0019238635846424927,0.0023448752819657977,0.00336385640347481,0.002781927584474864,0.006652208283416483,0.014604100516080305,0.020808880298790234,0.012844268404555893,0.014999634817216823,0.012104777772014874,0.009227140477283399,0.016482417658354672,0.011498487895255897,0.031750065411855107,0.02403017969132618,0.015409444091714792,0.015138054281958108,0.023226787040110455,0.015286367263900454,0.021127536786988206,0.015163318344793003,0.029142715082147306,0.03162488768999928,0.015550505995463098,0.014711923974564056,0.014217376983758136,0.0164943397398226,0.028199896567133596,0.025654044706307885,0.02217634080808362,0.030176740077473226,0.015993672455186073,0.014351997084471822,0.015951778525262212,0.018713946493274406,0.02645986788525759,0.01599341055884545,0.01930673186500959,0.023967483553187896,0.021743743050798715,0.008872069613310973,0.006172076295365919,0.026239812854207702,0.021584592976419043,0.01882765431297229,0.010675076691062997,0.005430835716336456,0.007858781160099422,0.01232355874449869,0.011155941667262378,0.017579879092956937,0.015127723803731457,0.018388512248240712,0.004403656170594261,0.003276176565419152,0.0030608228551381677,0.0019240075935244164,0.006687771570668139,0.00800016652331805,0.007483439293777855,0.01696013016028335,-0.9035511589201666,-0.13759370087261447,0.04964810724379325,0.367113663594189,0.2378620271030367,-0.23123251747977538,0.8421303526803925,0.0,-0.5396304811078732,0.0,0.0,0.683517156752979,0.16907263141855422,0.08617844325711184,0.23505217909538495,0.18500038189764814
Aderllan Leandro de Jesus Santos,0.006388535253630356,0.00945459345231791,0.009808054777857312,0.015422596339106708,0.018229440785898617,0.013179441530348581,0.002783608414124844,0.0009411764705807058,0.0071345706135189195,0.018271867143165765,0.024861296639544592,0.012996596978248853,0.01596966775641474,0.0071356713689637195,0.00892751565338915,0.0035662626581171777,0.008746432469858918,0.029274250295654836,0.045262732631467975,0.026752710377450046,0.020213650454061774,0.026392451817823348,0.01951699373089106,0.004602892828902936,0.014970504542907421,0.03369862714286571,0.036177703174204,0.028307790365529297,0.037428778757521874,0.03285349273899413,0.016180686173331845,0.0066026971828445705,0.012366541925983007,0.030762872584644357,0.03749271206391348,0.031259741957602706,0.026267545739144763,0.04777234506918241,0.011936147272484734,0.006811201201125009,0.011172467720601575,0.020093607675589594,0.032453698136352474,0.0244599074083722,0.020703137505868406,0.022540559619582786,0.01239284356693218,0.00477620226750333,0.003529060143147129,0.003298225863337732,0.007302145106758481,0.010974889592765229,0.012703679928822877,0.00745840982904921,0.003736057657062657,0.001782531194268892,0.002664588062850255,0.00041425020712218633,0.00269996118553151,0.0020036495301412236,0.001284041849272905,0.002276390008034116,0.0029411764705514704,0.00225184154836715,0.00042625745950245256,0.0,0.0,0.0,0.0,0.00042625745950245256,0.0,0.0,0.0,0.00042625745950245256,0.0,0.00042625745950245256,0.0006609385327090311,0.0006609385327090311,0.0,0.0,0.0,0.0008525149190049051,0.0003844675124926813,0.0036515867911263208,0.0023681440572021774,0.0007689350249853626,0.0,0.0,0.0,0.0,0.0014705882352757352,0.0014742509706117475,0.002963984279331565,0.0,0.0,0.00040290088637919046,0.1536711691462723,0.6032169262168852,-0.3235734872028003,-0.2799735151153952,-0.2528629095843689,0.01096069982175238,-0.47114467717952263,0.0,0.8610776883316883,0.0,0.0,-0.40917075688671284,0.16907263141855422,-0.1260152624793423,-0.2621026664425919,0.12246124569984215
Adil Rami,0.0011580045002921838,0.002306829838017859,0.004667270181798226,0.007717214811877268,0.01969614060211896,0.017074376099507554,0.013914740027158404,0.011093049131378815,0.0026077412443743903,0.0033276410763137068,0.00473802082357271,0.01907970086750521,0.03621096266606746,0.03810395010509989,0.03593133296598909,0.01585847034209601,0.00254046478880782,0.004342041579152861,0.009842404854823518,0.018368310304684676,0.03368743564899645,0.05245011017066951,0.03925075504300806,0.018058977491126386,0.000663814525694416,0.0021227966966174865,0.008503200987742236,0.024676865862693763,0.02753230957272102,0.04653888677645512,0.06397093083556511,0.020914820672075927,0.0005659385221383899,0.004408206751113262,0.006083619700828137,0.01506360608362409,0.030523966509336985,0.026346497801391776,0.03955204795539417,0.03293681105302915,0.0015943877550878053,0.0023810176891747073,0.01249298326642807,0.009925027002737978,0.01575132728149914,0.018789499049807347,0.03145674832824225,0.022662452960147964,0.0,0.00125160833957492,0.002123528786434692,0.004933768752379208,0.005439451632564438,0.00848532603445131,0.012482184284584941,0.01135906046285891,0.0003759398496201029,0.00022045855379052628,0.0012446693986626798,0.0011934606460812516,0.00038819875775975563,0.006178492981535256,0.004036152156740059,0.006482495186448531,0.0004177109440242908,0.0,0.0012035892248187705,0.0011803121922026802,0.0023359417080307024,0.0022134960534812725,0.0015337375962351449,0.0013648771610468115,0.0005065856129649989,0.0016267445517739118,0.0007802840434361453,0.0009276437847745946,0.0016706876173902486,0.00104587289460444,0.0016169476424265168,0.0018497271376475132,0.0004638218923872973,0.0006265664160364362,0.0006044831313593617,0.006726538865359144,0.006615723536608874,0.004729490761446276,0.0003840245775688354,0.00019952114924070497,0.00028571428571199997,0.0,0.0007154410849771443,0.00858202265911356,0.003029066890615599,0.002237075477216846,0.0004638218923872973,0.0003840245775688354,0.18355754685455633,0.2570091921221174,-0.24580671456357325,-0.2799735151153952,-0.12433971188052459,-0.06674723175949446,-0.6576386652633711,0.0,-0.16239695798754653,0.0,0.0,-0.6981057408889877,0.16907263141855422,-0.6603858584273725,-0.18658663290023056,-0.1391857563990333
Adnane Tighadouini,0.008333333333222222,0.0,0.0017857142856887755,0.0,0.0,0.0,0.0019531249999694823,0.0,0.0,0.0,0.0017857142856887755,0.0,0.0,0.0,0.0,0.0,0.003571428571377551,0.0013440860214909238,0.0013440860214909238,0.004464285714205995,0.001760563380269292,0.0,0.0,0.0,0.013690476190288549,0.011212273641714822,0.0013440860214909238,0.004464285714205995,0.000880281690134646,0.0,0.0,0.006756756756574142,0.0069047619046664396,0.017518074866864422,0.008938172042876618,0.00892857142841199,0.0053342442715617906,0.000880281690134646,0.002640845070403938,0.0,0.021410235606922144,0.023939623436818016,0.013970647831632498,0.00569196428562774,0.013460086797497712,0.01346151421917879,0.00865788246257413,0.011047168427091476,0.026582737351149962,0.03671280032290575,0.02926553343740339,0.005655300220666556,0.020318406707519228,0.008975393303618438,0.004664179104442805,0.002798507462665683,0.06103932852167257,0.046541994967367474,0.016762524977134124,0.015223089459413523,0.016670717045662413,0.025325054400176086,0.0044014084506732295,0.0,0.040649205872856205,0.018525213782459773,0.010498336935537637,0.013329343598140597,0.019328918992999135,0.012000806776638336,0.007462686567108488,0.005376344085963695,0.04841452702091639,0.042187372587682875,0.013642932900560206,0.01184898810176767,0.007658493086519185,0.003731343283554244,0.001760563380269292,0.004032258064472771,0.015186085619614462,0.018445577170095144,0.027724522664228358,0.017685275060162063,0.0013440860214909238,0.00802496430184506,0.0017857142856887755,0.008143074867006325,0.020458470813344187,0.03170040000030839,0.012557058770405239,0.009565622903955698,0.003713688380238774,0.0,0.000880281690134646,0.013926295697315646,-0.875950989706197,-0.4985802719979652,0.7594908359081017,0.07592443317487613,-0.2528629095843689,-0.48093307170574406,1.5065849808833258,0.0,-0.8175920244596927,0.0,0.0,0.397045102898534,0.16907263141855422,-0.43872893522812956,-0.5901959825803116,-0.4489596426073963
Adriano Correia Claro,0.0043120177160643584,0.0033874309392081326,0.0,0.006153155666671891,0.0,0.0,0.00198412698409549,0.00198412698409549,0.010911275665877077,0.013618462584394447,0.0005605381165894146,0.0,0.000624999999996875,0.0013812154696056288,0.00595238095228647,0.014579496623471246,0.04489895055563578,0.013746965463523069,0.025390534583447862,0.0018105381165831646,0.0,0.0026747347188983044,0.00595238095228647,0.00992063492047745,0.030516265348758342,0.021015495494558747,0.00874951615642595,0.0,0.008915715959775236,0.00396825396819098,0.00198412698409549,0.00992063492047745,0.05375047924414987,0.016134737419851334,0.013473072427368223,0.003124999999984375,0.0022727272726859506,0.00198412698409549,0.0,0.00198412698409549,0.052759910220362125,0.048376000798561504,0.019539766267658656,0.0061475409835057785,0.009090909090743803,0.00595238095228647,0.00396825396819098,0.0,0.05527555269006963,0.025811543557900163,0.01894926194562034,0.006699588629786131,0.0011210762331788293,0.00198412698409549,0.00198412698409549,0.00992063492047745,0.04933186859890513,0.026305187904662148,0.02118907371066434,0.000624999999996875,0.0005165289256177004,0.0064689098779041705,0.00198412698409549,0.00793650793638196,0.06540056306316869,0.024694225356054728,0.010063165936523896,0.0013156077347996893,0.0,0.0,0.0,0.0,0.05609478715695196,0.029285505857428923,0.01228141329714431,0.002983490565990111,0.0,0.00198412698409549,0.00595238095228647,0.00793650793638196,0.009173970648146111,0.013336933268784077,0.013558981755577631,0.006818181818057852,0.0,0.0,0.0,0.0,0.001681614349768244,0.003231201126621345,0.002358490565993236,0.0,0.0022727272726859506,0.0,0.0,0.0,0.4747674954999096,1.0182471870885412,-0.5900866976018181,-0.2799735151153952,0.1969682823790862,0.4880438012211399,-0.5532243665457673,0.0,-0.4778612492519132,0.0,0.0,-0.5494400838376965,0.16907263141855422,-0.17165051137330406,-0.22051067975038544,-0.9789653737329771
Adrián Embarba Blázquez,0.0017524401064629273,0.00021910604732556203,0.0029802486924360647,0.0027020431768369105,0.001010781671149494,0.002771062915796905,0.0026361266472830214,0.00726536115197555,0.00429983440493305,0.00402808634000328,0.0009160482374708587,0.001501198345842351,0.0018593637130849487,0.0016470801337948797,0.0035840636103940332,0.0072872105522693974,0.006343181095744236,0.006620085350401262,0.005368249653174524,0.0020357071783236804,0.0016438823907267235,0.004254360675136173,0.004026802631725046,0.010898781616597188,0.01351556458008134,0.007405439502614021,0.002909931873743043,0.003180932605915477,0.001632285524834296,0.0030275831533791947,0.006184385851837893,0.010496026504265423,0.01748691644672944,0.011070161823760973,0.004188143389103868,0.0023889430434291515,0.004538938900759022,0.003648466110523059,0.01109661251067885,0.015146888646637161,0.021563226720220003,0.0104539539865305,0.004159365761514264,0.004056680445379199,0.01221673974819702,0.006938926413783498,0.015430122008527771,0.02283529716031058,0.018392322444912984,0.01351143677106784,0.006650319473563787,0.006343798830695332,0.0057659973038422735,0.012079050631025184,0.023386634507811286,0.033177570368734886,0.027606991065093817,0.013224433308845318,0.004954873790936505,0.004153605415529191,0.0057693485220857476,0.010935327978896495,0.025898334529945017,0.030947824979849277,0.024908891422111275,0.015180799871216127,0.008069564274538107,0.00485649566409107,0.005058851437786535,0.007993021251048543,0.02280049569903712,0.0325208700395964,0.022395634847710653,0.019071497776460788,0.006264744505247928,0.005117126436515824,0.003024681696295537,0.014922119088668206,0.016776395980305774,0.035681078285100525,0.022057574171393684,0.014284553311876601,0.008204303981847632,0.005270505174194995,0.00552382108648162,0.014132244343977697,0.013683413236731426,0.034177421798004495,0.02115448263707153,0.011047206361309599,0.00950402690910954,0.002932152071733446,0.0035452747951311213,0.006405582820500929,0.014043082044245855,0.023371577996872485,-0.4147948096325525,-0.7307898681494408,0.4152108528698569,-0.07660325894952588,0.2612298812310084,-0.0013494675574550513,0.5763485013992192,0.0,-0.16239695798754653,0.0,0.0,0.738959456673507,0.10671658670235952,0.12449767290109423,0.47909924011088645,-0.30347990493340726
Adrián González Morales,0.00031318509238656157,0.0006847573379777591,0.0002959455460168173,0.0021609625430734462,0.002192638926658162,0.0,0.0,0.00031318509238656157,0.0008909261459185478,0.005414848848491771,0.001959396349792295,0.0036966169277694613,0.003645674849391687,0.0019206015456819379,0.00020416496529066373,0.0,0.00958064343441155,0.007149322909084429,0.007667334643002005,0.007585804654940422,0.004020607378686884,0.0032425744652391374,0.002524344212791461,0.00041779453162122933,0.010040696227815832,0.014285949035240827,0.017415008989117638,0.008425749035193771,0.004868731511531898,0.003016384026018818,0.0039890306873795285,0.0002136295663305656,0.01758381843178166,0.030293439544372473,0.023264425163139098,0.01799574660573018,0.0113952043506067,0.008812423004849535,0.004361674508016256,0.0,0.023154471112960043,0.036768517320157304,0.04002095198926464,0.027223567537688613,0.02054163688391135,0.006840651154843509,0.002826053742168103,0.0,0.02128355331380226,0.044689820448005096,0.03847003283152334,0.04016485994622955,0.027682996040655557,0.00773357691892775,0.0030716325133680897,0.0,0.023020162828253355,0.03985568907216646,0.037986552240921435,0.01409342272458998,0.019706032583046457,0.017488946204551496,0.0038338536858136874,0.000366568914953929,0.01911233381546567,0.023769736701009972,0.020877732927197065,0.018532166251199987,0.013385416082206905,0.0059884886877095015,0.002593395037168489,0.0023998116871222783,0.015311717409656,0.014356233106362366,0.01753782759676548,0.008599967910387982,0.011002297866239184,0.0039029461408384685,0.003118054133912408,0.000886326408141849,0.010373674209717305,0.01115465892399698,0.011011626075449966,0.009802098695663205,0.0005567121184704753,0.003714771326371728,0.0001832844574769645,0.00031318509238656157,0.011763629438652848,0.0049662567985287055,0.001562976291541394,0.004714093344733349,0.007082246689043037,0.000666857450896088,0.0,0.00209268621719359,-0.11824548846080635,-0.14778995244551626,0.4827341527689707,0.17924964396882587,-0.2528629095843689,-0.29191243710888176,-0.25529148486767794,0.0,-0.22580293216227038,0.0,0.0,0.39577792384648375,-0.15403839225347782,0.3021983051433217,-0.05249228119069358,0.11140818963169404
