Player,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Abdoul Karim Yoda,0.013994938,-0.032572564,-0.010624059,1.1420082,0.0031922166,-0.0011654724,0.010701962,0.030531732,0.25569287,0.021688864,-0.03376646,0.13260977,-0.0062520043,0.011462236,-0.06891613,-0.23087277
Abdoulaye Doucouré,0.09668102,-0.009678316,0.3809589,-0.1627996,0.049713265,0.028136674,0.057379898,0.01564027,0.073453166,-0.16275088,-0.28451857,0.017249232,0.001692141,0.049888693,0.006453012,0.24182823
Abraham González Casanova,0.074520566,-0.016970698,0.18298644,-0.25404674,0.04171665,0.014346898,0.04397391,0.011465811,-0.031756174,0.010597098,0.30975398,0.14859448,0.0035205605,0.06534419,0.028929865,0.1999755
Adalberto Peñaranda Maestre,-0.020285668,0.0034490458,0.21545506,0.30641988,-0.00771629,-0.046576098,-0.013512156,0.040057693,-0.018319998,-0.012711496,0.065909,0.0949518,-0.038428698,-0.0023332462,0.03076349,-0.76472473
Aderllan Leandro de Jesus Santos,0.17536098,-0.04953576,0.098486595,-0.08821133,0.12560904,0.06827658,0.09816081,0.056619063,-0.3409741,0.011750569,-0.09606131,0.01070287,0.0015998982,0.116498955,0.07406069,0.96724105
Adil Rami,-0.049593456,0.049300108,0.2837855,-0.1677459,-0.0048598363,-0.015579512,-0.07130788,-0.005447907,0.29360723,0.26609644,0.22798695,-0.041187823,0.018418493,0.0023595062,0.045334518,0.8716174
Adrián Embarba Blázquez,-0.123359606,0.0933805,0.33892494,0.3419954,-0.042927686,-0.075111344,-0.08871468,-0.03230793,-0.12935282,0.15337767,-0.08743423,-0.03634665,0.005368009,-0.08418453,-0.04340186,-0.8455853
Adrián González Morales,-0.007815253,-0.02129934,0.23062842,-0.43519267,-0.018573882,-0.00013377109,0.009047693,-0.04906742,-0.14133264,0.14658645,-0.008939471,0.4629847,0.01677139,-0.024754863,-0.004836319,-0.3541686
Adrián López Álvarez,-0.1982639,0.16993992,0.023568666,0.013926069,-0.13203217,-0.21158312,-0.21717992,-0.075376086,0.4556603,0.16836101,0.41374347,-0.31309205,-0.00095081975,-0.12408049,0.012618185,-0.6008355
Adrián Marín Gómez,-0.07241404,-0.008597482,-0.046660457,0.42050916,-0.01618377,0.019971265,-0.02606651,-0.015172958,-0.20542921,-0.019396277,-0.40138224,-0.09410901,0.019224497,-0.07102306,-0.084275074,0.81161475
Alberto De La Bella Madureño,-0.13401124,0.0077756657,0.45019552,-0.28689915,-0.06674629,-0.04759812,-0.040040623,-0.023585822,-0.44040817,-0.093564354,-0.54086965,0.094617575,-0.002554355,-0.1081055,-0.07368969,0.4545995
Alberto Lora Ramos,-0.03892854,0.018842956,0.2159657,-0.08076238,-0.019653147,-0.021571014,-0.047282483,0.008998403,-0.43521112,-0.017867167,-0.23872285,-0.20893215,0.002696782,-0.020766616,-0.009964506,0.6059126
Alberto Mateus Contreiras Gonçalves,0.09240397,-0.07507599,-0.081571005,-0.28742316,0.029251492,0.042829648,0.11673332,0.014891597,-0.43943748,-0.31035593,1.0821621,0.30091873,-0.015016037,0.019647524,-0.0048250468,-0.71493125
Alejandro Arribas Garrido,0.055297423,-0.00086238596,0.008612872,-0.13219275,0.03185578,-0.016178928,-0.0029051155,0.019273747,-0.7721324,0.13188867,0.11258547,-0.11835776,0.0034026527,0.061604556,0.063659094,0.67651665
Alejandro Bergantiños García,-0.014256756,0.009434789,0.39221296,-0.49868974,-0.010356331,-0.03763216,-0.022431334,-0.02128926,-0.10625341,0.15081283,-0.31615597,0.29179025,0.0012319715,-0.0075572273,0.045069613,0.357121
Alejandro Menéndez Díez,0.054321572,0.012928606,-0.058198124,0.29194346,0.016367143,-0.011841153,0.005559688,0.022681264,-0.49521202,0.1234748,0.4023022,-0.0489285,0.012321951,0.05095642,0.0085993325,-0.46988446
Aleksandar Pantić,0.13067548,-0.055211466,-0.17420945,-0.14928636,0.06807269,0.02729128,0.07134509,0.01376416,-1.2583048,-0.021867977,0.7141414,-0.1983647,-0.0013282548,0.087445855,0.050573178,0.4733637
Alen Halilović,0.067863576,0.0063183014,-0.007540541,0.69831437,0.042741187,-0.011641645,-0.02874319,0.03679701,0.86733717,0.24472898,0.17630959,0.1575045,0.025844777,0.0999422,0.024914432,-0.6210839
Alexis Ruano Delgado,0.18710586,-0.028864026,-0.5786618,0.08195421,0.1372139,0.040962253,0.105654135,0.04964961,-0.47434542,0.07692159,0.1042326,-0.23994951,0.020428495,0.14068022,0.12905926,1.0657275
Alfred John Momar N''Diaye,0.08472438,-0.03859058,0.48029518,-0.14558762,0.06387991,0.030441463,0.05689512,0.025911843,-0.5122804,-0.06253228,-0.27096054,0.28020436,-0.01378739,0.044551887,0.014884937,0.15649657
Alhassane Bangoura,-0.088845514,0.039400607,0.2313546,1.2071149,-0.019011501,-0.047176342,-0.1027569,0.06076349,0.3024473,0.2973799,0.2759463,0.04088157,0.0034997324,0.017977767,-0.016606733,-0.82038295
Alphonse Areola,-0.037067607,-0.12125711,-1.4132285,0.030351622,-0.028184475,0.14621015,0.1272427,-0.034125876,-0.49035406,-0.5608058,1.4411111,-0.4213487,-0.049708832,-0.15363581,-0.073765695,0.7415895
Ander Capa Rodríguez,-0.11251867,0.09862596,0.051912792,0.26798275,-0.04536254,-0.08231378,-0.10230276,-0.0002974756,-0.947212,0.04399626,-0.40903768,-0.47730193,0.019337956,-0.08061889,-0.043946944,0.10174093
Ander Iturraspe Derteano,0.05717582,0.011588039,0.248902,-0.05680719,0.05460041,-0.02075584,0.022021785,0.023243163,0.46476036,0.028956259,0.5130374,0.06635187,0.0018471233,0.057962436,0.04135195,0.6008647
André Filipe Tavares Gomes,0.03281958,-0.032013793,0.27165765,0.2935513,-0.022235584,0.01795765,0.01451751,-0.030417543,0.47765255,0.047439065,-1.0146844,0.3404154,-0.021391047,-0.011632211,-0.042822614,-0.60178286
Andrés Eduardo Fernández Moreno,-0.1618144,0.05006341,-0.8709518,0.16614555,-0.10664118,0.058360107,-0.08322905,-0.04026668,-0.39354104,0.06803934,1.5585418,-0.55915403,0.0029024999,-0.10143787,-0.06005358,0.876426
Andrés Iniesta Luján,-0.045217328,-0.025502166,-0.1818842,0.30384788,-0.03478276,-0.051172636,0.024771001,-0.054990377,1.3179128,0.09486624,-1.361968,0.21498212,-0.045704074,-0.04353747,0.036325786,0.15360142
Antoine Griezmann,0.074931495,-0.008054131,-0.3698466,-0.5827168,-0.008570568,-0.048807994,-0.009640758,-0.0002448159,-0.026824769,0.26802066,-0.56052494,0.31119728,-0.00961562,0.07267857,0.13442682,-0.9001707
Antonio Adán Garrido,-0.22706729,0.08075174,-1.1595538,0.36259946,-0.11003696,0.036990155,-0.108977094,-0.060763188,-0.76530606,0.019369496,1.642754,-0.7372316,0.008081571,-0.19204925,-0.108907424,0.55482787
Antonio Amaya Carazo,0.07508538,-0.030045295,0.010883117,-0.16916817,0.03100932,0.012322295,0.03786874,0.020928849,-0.50538415,-0.011072346,0.2715182,-0.016073938,-0.00280017,0.056457605,0.03420854,0.6576922
Antonio Barragán Fernández,-0.018801786,-0.028525494,0.32773986,0.049790446,-0.007374497,0.017518612,0.013939148,0.015837438,-0.42357475,-0.0977284,-0.21378948,0.015950209,-0.014398546,-0.018780993,-0.03423747,0.6838728
Antonio García Aranda,-0.079174824,0.0683767,0.18143891,0.6023664,-0.026309596,-0.023660108,-0.105131425,0.0004775585,-0.21478069,0.19457585,-0.4864617,-0.2760202,0.028634239,-0.019977331,-0.044679318,0.4341631
Antonio Manuel Luna Rodríguez,-0.07259856,0.031665176,0.13161533,0.23335482,-0.03235134,-0.042638116,-0.06250014,-0.011783214,-0.42457464,-0.011788486,0.06944955,-0.24316345,0.005281554,-0.03490396,-0.048599113,0.45828962
Antonio Rodríguez Martínez,-0.07488141,0.061074503,-0.15048307,-0.111074224,-0.056578137,0.033678643,-0.076991186,-0.014312531,0.31566748,0.28447634,1.1904821,-0.275738,0.0062567117,0.029800434,0.047163375,1.2125964
Antonio Rukavina,-0.03189692,-0.018009746,0.24364194,0.0048281304,-0.003801008,-0.013980212,-0.0049829874,-0.015796337,-0.20156164,0.013992028,0.08039789,0.02744536,-0.014766085,-0.02286896,-0.017312154,0.7617111
Arda Turan,0.082762815,-0.032052245,-0.28583208,0.028221885,0.03280667,-0.022317696,0.09267348,-0.020226076,1.3894312,-0.22080679,-0.2010981,0.1776357,-0.019122345,0.01495982,0.038715918,0.174892
Aritz Aduriz Zubeldia,-0.07388853,0.05596394,-0.23867492,-0.42039222,-0.015761742,-0.055162337,-0.051420804,-0.033920024,-0.16161096,0.17216405,0.09227143,0.047803685,-0.0029916903,-0.058819823,0.037308626,-1.3253134
Aritz Elustondo Irribaria,-0.007828134,0.028452935,0.13042688,0.095667675,0.0067492537,-0.004170853,-0.043073636,-0.0023194582,-0.36239102,0.17329429,-0.33965263,-0.033209454,0.019640312,-0.0014726522,0.004311606,0.59661925
Armindo Tué Na Bangna,0.10939236,-0.025204781,-0.07867949,0.65539294,0.06767147,0.03209217,0.057450086,0.047358636,0.7066618,0.12152094,0.18892008,0.41082093,0.05231392,0.07586892,-0.030478537,-0.54932714
Arnaldo Antonio Sanabria Ayala,0.054768216,-0.082266785,0.2226798,-0.35836923,0.021646783,0.018432733,0.10669358,0.008226445,-0.3267022,-0.119369686,0.03600466,0.50598246,-0.0434969,0.015828473,0.033291295,-0.9546551
Arthur Etienne Boka,-0.063414164,0.04738339,0.31849658,0.4971527,-0.033485238,0.005077791,-0.09218283,-0.0056301723,0.13008402,0.2483689,-0.54781723,0.09658973,0.028662145,-0.03920522,-0.07099053,0.49415854
Asier Illarramendi Andonegi,-0.0022503585,0.015250083,-0.110054895,-0.0431555,-0.015685447,-0.013604918,0.02578022,-0.008027544,-0.54510194,-0.108022586,-1.0261248,-0.12403754,0.012717916,-0.019286841,-0.00028317524,0.33140427
Asier Riesgo Unamuno,-0.23492518,0.08982572,-0.9544646,0.32070637,-0.1281953,0.032764636,-0.13175751,-0.065483645,-0.6162973,0.110822864,1.619201,-0.67630154,0.013878156,-0.16381744,-0.09240382,0.6560384
Augusto Matías Fernández,0.1561046,-0.061629254,-0.33118725,-0.04782721,0.06709566,0.021293972,0.1480411,0.023759866,-0.05972075,-0.23681311,-0.9563642,-0.002375245,-0.01505983,0.06484085,0.05835992,0.5809406
Aymen Abdennour,0.11751116,-0.044078767,-0.10626023,-0.049297478,0.09240048,0.037114546,0.10669914,0.026498413,-0.13331811,-0.084108256,-0.18170397,-0.007304438,0.0028855964,0.05515649,0.05453552,0.9059704
Aymeric Laporte,0.07636067,0.011956892,-0.0608106,-0.26360705,0.053988706,0.01962248,-0.0046873596,0.041013632,-0.015403054,0.18840738,-0.41971588,-0.041183453,0.035223827,0.0855596,0.10929956,0.75101125
Aythami Artiles Oliva,-0.0016570773,-0.02973686,0.19016574,-0.38616395,0.014402297,0.032242984,0.028873185,0.022467598,0.1411433,-0.024575388,-0.3843348,0.0058623822,0.0057621677,-0.00096137676,0.038028,1.0132067
Benoît Trémoulinas,-0.18127416,0.07795838,0.68809193,-0.045553174,-0.09928918,-0.05694289,-0.14970243,-0.033263575,0.07095329,0.09550186,-0.43338212,-0.07934966,0.005671026,-0.10512058,-0.071865104,0.21487223
Bernardo José Espinosa Zúñiga,0.12036592,-0.026276076,-0.045567963,-0.33064324,0.058041174,0.002043821,0.029743869,0.027151212,-0.9622866,0.13244328,0.276856,-0.09764828,0.0058820974,0.11324633,0.09561058,0.56332064
Beñat Etxebarria Urkiaga,-0.11770187,0.04141361,0.27171612,-0.21818621,-0.07456981,-0.055433244,-0.056963563,-0.037127532,0.08968054,0.026723007,-0.9566625,-0.023508769,0.002066618,-0.09950387,-0.049969018,0.15901336
Borja González Tomás,0.014324801,-0.031631872,-0.22262672,-0.86251575,0.017129835,0.008444586,0.060606733,-0.024211103,-0.44055307,-0.038292293,0.321554,0.45023596,-0.0102274325,-0.025935844,0.04623027,-1.2552924
Bruno González Cabrera,0.23758787,-0.09996212,-0.004988946,-0.17493597,0.13899383,0.0879827,0.14403012,0.06534816,-0.6174674,-0.10220392,0.15722936,0.0342307,-0.007959526,0.14770797,0.08019547,0.80895257
Bruno Soriano Llido,0.0629888,-0.034377996,-0.45905888,-0.1777963,0.021962292,-0.005018637,0.06758722,0.0003474043,0.14669114,-0.068161674,-0.8446782,0.019560432,0.0068485485,0.008956999,0.06377706,0.53457123
Carl Medjani,-0.027623245,0.043338943,0.2214514,-0.19073413,-0.021492958,-0.031622365,-0.08333739,-0.0004938309,-0.067193024,0.34587583,0.30847487,0.008192205,0.017208094,0.03438783,0.057795886,0.77699834
Carles Planas Antolínez,-0.09153151,-0.022195172,0.13750505,-0.36073676,-0.07223806,-0.041128173,0.009258365,-0.031820837,-0.19804192,-0.27949402,-0.5578813,-0.014134057,-0.00092120277,-0.09074847,-0.07298068,0.46559447
