Player,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Abdoul Karim Yoda,-0.8570117,-0.116367996,-0.023283113,0.5106063,-0.06554654,-0.19051482,-0.011420866,-0.036795355,-0.03841928,0.21891434,0.40078056,0.28103012,-0.008914342,-0.3908269,-0.38308427,-0.10179203
Abdoulaye Doucouré,0.027091904,-0.02505723,0.0057220953,-0.17509335,-0.03691605,-0.20247653,0.002030998,0.05388385,-0.025919156,-0.025665313,-0.06650874,0.094280265,0.0046948264,0.10517928,0.2559918,-0.30571032
Abraham González Casanova,0.09462361,0.008532983,0.025151366,-0.25785422,-0.019125545,-0.15747052,0.005192445,0.017054653,-0.0020957245,-0.0196751,-0.039924484,0.026442286,-0.0029625806,0.08821409,0.09261707,0.3147566
Adalberto Peñaranda Maestre,-0.14181256,-0.051423956,-0.019109605,0.14919434,-0.06386146,0.06843038,-0.00069347123,0.041723695,-0.037204266,0.012176633,0.073604405,0.13128258,0.015597104,-0.05305258,-0.75494057,-0.08784615
Aderllan Leandro de Jesus Santos,0.13424157,-0.029285222,0.024587873,-0.1952898,-0.01604705,-0.16720235,-0.0045828354,-0.0038700462,-0.031137133,0.021744775,0.14399374,0.10560642,0.0058055497,-0.0879876,0.98640585,0.029789876
Adil Rami,-0.19944748,0.025474519,0.004749432,-0.3607535,0.04296888,-0.5598297,-0.011344476,-0.0012336046,0.05343579,-0.07637901,-0.16239285,-0.26256865,-0.0108052185,0.1324565,0.7010042,0.30256683
Adrián Embarba Blázquez,0.063296355,0.0044644894,0.008586114,0.5178588,-0.007085479,-0.1627184,-0.0011292336,0.0040196455,0.020552112,0.04530598,-0.08747078,-0.011994498,0.0019043481,0.06271943,-0.7794859,-0.21243061
Adrián González Morales,0.4239979,0.06492904,-0.017974146,-0.2412561,0.06058468,-0.12415712,0.001110599,-0.07618931,0.035074122,-0.049879313,0.10305766,-0.09277591,0.005626413,-0.0942814,-0.41913533,-0.037734758
Adrián López Álvarez,-0.4285647,-0.0186852,0.014262276,0.11483975,-0.028031796,0.12677254,-0.014387602,0.08666168,0.025284294,-0.029600382,-0.2847727,-0.18489966,-0.025857996,0.2639404,-0.57642365,0.22721884
Adrián Marín Gómez,-0.25524423,-0.039504126,-0.058003392,0.44244072,0.035234794,-0.27059144,-0.02741319,-0.057850305,0.031618692,0.10341322,0.15461941,-0.028059531,-0.003883221,-0.25989494,0.8772897,-0.23948875
Alberto De La Bella Madureño,0.6041752,0.023423798,0.0057146987,0.07459585,0.03912734,-0.4011623,0.025024025,-0.033529468,-0.014887757,0.027634988,-0.07208638,-0.026146298,-0.016291324,0.008320447,0.5331862,-0.4430874
Alberto Lora Ramos,0.32641262,0.0016731373,0.007638451,0.21620762,0.00921424,-0.19170405,0.005488148,-0.0002197139,0.0007703433,0.028260099,-0.07047811,-0.033743557,-0.0012375633,0.053695165,0.6886839,-0.15756176
Alberto Mateus Contreiras Gonçalves,0.326187,-0.008739171,0.01964529,-0.11574178,-0.05398876,0.44636664,0.021946402,0.015691912,-0.05880029,0.082155325,0.054620728,0.2606338,0.0126990555,0.004519733,-0.89213055,0.8705325
Alejandro Arribas Garrido,0.54667246,-0.016082594,0.013362337,0.14506155,-0.0006950555,0.0025699707,-0.013231089,-0.041090764,0.008622834,0.019061549,0.1605876,0.028327882,-0.004269194,-0.13318199,0.7508282,0.22233315
Alejandro Bergantiños García,0.42111707,0.056179363,-0.007422812,-0.38776597,0.032593857,-0.40441945,0.006697308,-0.04428863,0.02426244,-0.06448315,0.023004087,-0.101605855,0.0023872,-0.02994625,0.34606567,-0.2598018
Alejandro Menéndez Díez,0.19310004,-0.031443693,-0.0024754205,0.46576652,-0.016585067,0.24900612,-0.014730643,-0.04530555,0.020473603,0.09384447,0.20650378,0.13512054,-0.015089202,-0.19027999,-0.48645368,0.31687284
Aleksandar Pantić,0.87588483,-0.032565065,0.026566619,0.3790401,-0.0043602795,0.3594312,0.010948731,-0.028504435,-0.0007153742,0.029481798,0.13814592,0.16707967,-0.009318311,-0.10352899,0.47739783,0.82278347
Alen Halilović,-1.0329604,-0.034443136,-0.013969072,-0.012157164,-0.0052239355,-0.18881279,0.016808502,0.03303738,-0.015342851,0.04009662,0.066840164,-0.059684858,-0.008918009,0.013028262,-0.89921975,-0.060664993
Alexis Ruano Delgado,-0.06663362,-0.048142865,-0.020096833,0.10677251,-0.0017011284,0.3636584,-0.0025126378,-0.0481732,-0.0032442093,0.041547313,0.2651199,0.06501769,0.00604949,-0.25342074,1.1608614,0.2741596
